                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    105,                 1.6703,                 1.2376,                  1.357,                0.72783,                0.57329,                0.62712,                0.30745,                 1.8148,                 1.0605,                 1.2472,               0.003136,               0.003136,               0.003136
                    106,                 1.6753,                 1.2474,                 1.3599,                0.72877,                0.57427,                0.62818,                0.30886,                 1.8078,                 1.0584,                 1.2425,                0.00307,                0.00307,                0.00307
                    107,                 1.6693,                 1.2376,                 1.3575,                0.72472,                0.57557,                0.62915,                0.30868,                 1.8102,                 1.0607,                 1.2463,               0.003004,               0.003004,               0.003004
                    108,                 1.6856,                 1.2465,                 1.3616,                0.71678,                0.57734,                0.62874,                0.30786,                 1.8135,                 1.0626,                 1.2486,               0.002938,               0.002938,               0.002938
                    109,                 1.6797,                 1.2398,                  1.357,                0.72758,                0.57797,                0.63064,                0.30781,                  1.814,                 1.0601,                 1.2483,               0.002872,               0.002872,               0.002872
                    110,                  1.676,                 1.2441,                  1.357,                0.73198,                0.57785,                 0.6323,                0.30862,                 1.8107,                 1.0593,                 1.2457,               0.002806,               0.002806,               0.002806
                    111,                 1.6804,                 1.2427,                 1.3564,                0.73104,                0.57911,                0.63146,                 0.3099,                 1.8046,                 1.0571,                 1.2424,                0.00274,                0.00274,                0.00274
                    112,                 1.6689,                 1.2348,                 1.3517,                 0.7268,                 0.5786,                0.63255,                0.30958,                 1.8088,                 1.0555,                 1.2434,               0.002674,               0.002674,               0.002674
                    113,                 1.6747,                 1.2364,                 1.3521,                0.72888,                0.57873,                0.63187,                0.30966,                 1.8097,                 1.0562,                 1.2443,               0.002608,               0.002608,               0.002608
                    114,                 1.6716,                 1.2368,                 1.3502,                0.72073,                0.58196,                0.63069,                0.30834,                 1.8094,                 1.0568,                 1.2431,               0.002542,               0.002542,               0.002542
                    115,                 1.6685,                 1.2339,                 1.3508,                0.72014,                0.58202,                0.63222,                0.30879,                 1.8122,                 1.0577,                 1.2438,               0.002476,               0.002476,               0.002476
                    116,                 1.6645,                 1.2314,                 1.3496,                 0.7207,                 0.5805,                0.63109,                0.30841,                 1.8081,                 1.0566,                 1.2417,                0.00241,                0.00241,                0.00241
                    117,                 1.6686,                 1.2359,                 1.3494,                0.71495,                 0.5843,                0.63057,                0.30795,                 1.8082,                 1.0557,                 1.2412,               0.002344,               0.002344,               0.002344
                    118,                 1.6641,                 1.2258,                 1.3487,                0.71639,                 0.5827,                0.63028,                0.30765,                 1.8099,                 1.0547,                 1.2413,               0.002278,               0.002278,               0.002278
                    119,                   1.67,                 1.2334,                 1.3486,                0.72195,                0.58287,                0.63077,                0.30795,                 1.8127,                 1.0562,                 1.2424,               0.002212,               0.002212,               0.002212
                    120,                 1.6621,                 1.2286,                 1.3442,                0.71701,                0.58511,                0.63004,                0.30781,                 1.8137,                  1.055,                 1.2417,               0.002146,               0.002146,               0.002146
                    121,                 1.6626,                 1.2207,                 1.3433,                0.71743,                0.58518,                0.62939,                0.30776,                 1.8131,                  1.055,                 1.2413,                0.00208,                0.00208,                0.00208
                    122,                 1.6651,                 1.2242,                 1.3461,                0.71643,                0.58379,                0.62928,                0.30796,                 1.8122,                 1.0542,                 1.2412,               0.002014,               0.002014,               0.002014
                    123,                 1.6489,                  1.208,                 1.3361,                0.71779,                 0.5848,                 0.6303,                0.30847,                 1.8121,                 1.0539,                 1.2412,               0.001948,               0.001948,               0.001948
                    124,                 1.6658,                 1.2249,                 1.3412,                0.72035,                0.58176,                0.63105,                0.30877,                 1.8109,                 1.0531,                 1.2404,               0.001882,               0.001882,               0.001882
                    125,                 1.6611,                 1.2266,                 1.3463,                0.72225,                0.58151,                0.63196,                0.30917,                 1.8101,                 1.0523,                 1.2397,               0.001816,               0.001816,               0.001816
                    126,                 1.6596,                 1.2237,                 1.3425,                0.72334,                0.57873,                0.63115,                0.30847,                 1.8106,                 1.0534,                 1.2399,                0.00175,                0.00175,                0.00175
                    127,                 1.6584,                 1.2177,                  1.343,                0.72307,                0.57921,                0.63179,                0.30863,                   1.81,                 1.0531,                 1.2401,               0.001684,               0.001684,               0.001684
                    128,                 1.6485,                 1.2178,                 1.3385,                0.72295,                0.57911,                0.63173,                0.30895,                 1.8081,                 1.0532,                 1.2394,               0.001618,               0.001618,               0.001618
                    129,                 1.6578,                  1.218,                 1.3407,                0.72179,                0.57923,                 0.6317,                0.30856,                 1.8099,                  1.053,                 1.2402,               0.001552,               0.001552,               0.001552
                    130,                 1.6589,                  1.216,                   1.34,                0.72213,                0.57873,                0.63193,                0.30898,                  1.808,                 1.0517,                 1.2393,               0.001486,               0.001486,               0.001486
                    131,                 1.6627,                  1.221,                 1.3419,                0.72435,                0.57999,                0.63273,                0.30949,                 1.8079,                 1.0505,                 1.2389,                0.00142,                0.00142,                0.00142
                    132,                 1.6498,                  1.213,                 1.3359,                0.72794,                0.57835,                0.63316,                 0.3098,                 1.8065,                 1.0504,                 1.2387,               0.001354,               0.001354,               0.001354
                    133,                 1.6551,                  1.217,                 1.3357,                0.72721,                0.57754,                0.63395,                0.30991,                 1.8082,                 1.0508,                 1.2387,               0.001288,               0.001288,               0.001288
                    134,                 1.6522,                 1.2104,                  1.336,                0.72578,                0.57842,                0.63427,                 0.3102,                 1.8086,                 1.0509,                 1.2385,               0.001222,               0.001222,               0.001222
                    135,                 1.6549,                 1.2122,                 1.3357,                0.72146,                0.58088,                0.63486,                0.31028,                 1.8068,                 1.0496,                 1.2372,               0.001156,               0.001156,               0.001156
                    136,                 1.6554,                   1.21,                 1.3341,                0.72507,                0.57974,                0.63465,                0.31081,                 1.8066,                 1.0494,                  1.237,                0.00109,                0.00109,                0.00109
                    137,                 1.6497,                  1.206,                 1.3327,                0.72572,                0.57925,                0.63427,                0.31064,                 1.8063,                 1.0492,                 1.2367,               0.001024,               0.001024,               0.001024
                    138,                 1.6497,                 1.2046,                  1.331,                0.72218,                 0.5805,                0.63354,                0.31091,                 1.8051,                 1.0483,                 1.2364,               0.000958,               0.000958,               0.000958
                    139,                 1.6477,                 1.2066,                 1.3351,                  0.723,                0.58189,                0.63397,                0.31191,                 1.8037,                 1.0479,                 1.2353,               0.000892,               0.000892,               0.000892
                    140,                 1.6489,                 1.2081,                 1.3333,                0.72325,                0.58164,                0.63453,                0.31173,                 1.8032,                 1.0483,                 1.2348,               0.000826,               0.000826,               0.000826
                    141,                 1.6169,                 1.1733,                 1.3354,                0.73014,                0.57657,                0.63524,                0.31207,                 1.8011,                 1.0474,                 1.2331,                0.00076,                0.00076,                0.00076
                    142,                 1.6068,                 1.1687,                 1.3325,                0.72453,                0.58037,                 0.6354,                0.31202,                 1.8004,                  1.047,                 1.2321,               0.000694,               0.000694,               0.000694
                    143,                 1.6098,                 1.1683,                 1.3301,                0.72039,                0.58164,                 0.6342,                0.31146,                 1.8009,                 1.0474,                 1.2314,               0.000628,               0.000628,               0.000628
                    144,                 1.6069,                 1.1642,                 1.3304,                0.72354,                0.57923,                0.63301,                0.31122,                 1.8013,                 1.0488,                 1.2307,               0.000562,               0.000562,               0.000562
                    145,                 1.6086,                 1.1642,                 1.3299,                0.71774,                0.57982,                 0.6318,                0.31085,                 1.8033,                 1.0511,                 1.2313,               0.000496,               0.000496,               0.000496
                    146,                 1.6011,                   1.16,                  1.327,                0.71528,                0.57847,                0.63075,                0.30993,                 1.8041,                  1.053,                 1.2311,                0.00043,                0.00043,                0.00043
                    147,                 1.6039,                 1.1638,                 1.3285,                0.71061,                0.58105,                0.63032,                0.30957,                 1.8044,                 1.0543,                  1.231,               0.000364,               0.000364,               0.000364
                    148,                 1.5982,                 1.1583,                 1.3251,                0.71296,                0.57873,                0.62975,                0.30888,                 1.8053,                 1.0554,                 1.2312,               0.000298,               0.000298,               0.000298
                    149,                 1.5982,                 1.1528,                 1.3263,                0.70964,                0.57936,                0.62884,                0.30842,                 1.8063,                 1.0565,                 1.2312,               0.000232,               0.000232,               0.000232
                    150,                 1.5976,                  1.158,                 1.3244,                0.70911,                0.57772,                0.62794,                0.30785,                 1.8073,                 1.0573,                 1.2315,               0.000166,               0.000166,               0.000166
